what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1286411125908
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1286411125915
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1286411125919
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1286411125952
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1286411126004
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1286411126032
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1286411126046
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1286411126048
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1286411126048
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1286411126061
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1286411126075
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1286411126095
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1286411126099
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1286411126108
os,sysinfo,,,"macosx",1286411126110
arch,sysinfo,,,"x86_64",1286411126110
ws,sysinfo,,,"cocoa",1286411126110
locale,sysinfo,,,"en_US",1286411126110
processors,sysinfo,,,"2",1286411126110
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1286411126110
java.runtime.version,sysinfo,,,"1.6.0_20-b02-279-10M3065",1286411126110
java.specification.name,sysinfo,,,"Java Platform API Specification",1286411126110
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1286411126110
java.specification.version,sysinfo,,,"1.6",1286411126110
java.vendor,sysinfo,,,"Apple Inc.",1286411126110
java.version,sysinfo,,,"1.6.0_20",1286411126110
java.vm.info,sysinfo,,,"mixed mode",1286411126110
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1286411126110
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1286411126110
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1286411126110
java.vm.specification.version,sysinfo,,,"1.0",1286411126110
java.vm.vendor,sysinfo,,,"Apple Inc.",1286411126110
java.vm.version,sysinfo,,,"16.3-b01-279",1286411126110
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1286411126312
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1286411126318
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1286411126397
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1286411126523
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1286411126573
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1286411126590
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1286411126882
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1286411126941
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1286411127214
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1286411127301
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1286411127415
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1286411127427
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1286411130157
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286411135584
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286411135629
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1286411138756
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1286411139195
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1286411140117
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286411141451
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286411198704
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1286411200914
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286411202135
